"Mach","p","tp","x","Points:0","Points:1","Points:2"
3.6828,0.010555,1.0407,1.7341,11.271,0,0
3.7276,0.0099217,1.0409,1.7453,11.345,0,0
3.7747,0.0092713,1.0379,1.7566,11.418,0,0
0.41061,0.1577,0.17711,1.7678,11.491,0,0
0.34768,0.15959,0.17352,1.7791,11.564,0,0
0.3092,0.16236,0.1735,1.7903,11.637,0,0
0.28558,0.16415,0.17373,1.8016,11.71,0,0
0.26889,0.16545,0.17398,1.8128,11.783,0,0
0.25734,0.16697,0.17484,1.824,11.856,0,0
0.24803,0.16781,0.17518,1.8353,11.929,0,0
0.23872,0.16865,0.17551,1.8465,12.002,0,0
0.22941,0.16949,0.17585,1.8578,12.076,0,0
0.2201,0.17033,0.17619,1.869,12.149,0,0
0.21085,0.17085,0.17626,1.8803,12.222,0,0
0.20161,0.17131,0.17628,1.8915,12.295,0,0
0.19238,0.17176,0.17629,1.9028,12.368,0,0
0.18314,0.17221,0.17631,1.914,12.441,0,0
0.17412,0.17253,0.17624,1.9253,12.514,0,0
0.16534,0.1727,0.17607,1.9365,12.587,0,0
0.15656,0.17287,0.17589,1.9478,12.66,0,0
0.14778,0.17303,0.17572,1.959,12.733,0,0
0.1393,0.17318,0.17555,1.9702,12.807,0,0
0.13303,0.1732,0.17538,1.9815,12.88,0,0
0.12676,0.17322,0.1752,1.9927,12.953,0,0
0.12049,0.17325,0.17503,2.004,13.026,0,0
0.11422,0.17327,0.17486,2.0152,13.099,0,0
0.11099,0.17341,0.17491,2.0265,13.172,0,0
0.10882,0.17359,0.17504,2.0377,13.245,0,0
0.10666,0.17377,0.17516,2.049,13.318,0,0
0.10449,0.17396,0.17529,2.0602,13.391,0,0
0.10305,0.1743,0.1756,2.0715,13.464,0,0
0.10288,0.17495,0.17625,2.0827,13.538,0,0
0.10272,0.17559,0.17689,2.094,13.611,0,0
0.10256,0.17623,0.17753,2.1052,13.684,0,0
0.1024,0.17687,0.17818,2.1164,13.757,0,0
0.10335,0.17763,0.17897,2.1277,13.83,0,0
0.10437,0.1784,0.17977,2.1389,13.903,0,0
0.10538,0.17917,0.18057,2.1502,13.976,0,0
0.1064,0.17994,0.18137,2.1614,14.049,0,0
0.1081,0.18088,0.18237,2.1727,14.122,0,0
0.11039,0.18198,0.18355,2.1839,14.195,0,0
0.11268,0.18307,0.18472,2.1952,14.269,0,0
0.11497,0.18417,0.1859,2.2064,14.342,0,0
0.11726,0.18527,0.18708,2.2177,14.415,0,0
0.11955,0.18636,0.18825,2.2289,14.488,0,0
0.12185,0.18746,0.18943,2.2402,14.561,0,0
0.12414,0.18855,0.19061,2.2514,14.634,0,0
0.12643,0.18965,0.19178,2.2626,14.707,0,0
0.13017,0.19043,0.19272,2.2739,14.78,0,0
0.13471,0.19104,0.19352,2.2851,14.853,0,0
0.13926,0.19165,0.19432,2.2964,14.926,0,0
0.1438,0.19225,0.19512,2.3076,15,0,0
0.14834,0.19286,0.19592,2.3189,15.073,0,0
0.15289,0.19347,0.19672,2.3301,15.146,0,0
0.15743,0.19407,0.19752,2.3414,15.219,0,0
