Density,Mach,Pressure,Temperature,x,Points:0,Points:1,Points:2,z,Gamma,1-gamma-1/M2
12.207,1.7794,184030,323.58,0.41828,2.7188,0,0,0.8790673324486,6.6603375325169,-5.97616713052305
12.273,1.7748,185270,324.13,0.42952,2.7919,0,0,0.878737718980447,6.65910271890918,-5.97657159895872
12.361,1.7688,186930,324.84,0.44077,2.865,0,0,0.878375124557216,6.65752221205734,-5.97714853666554
12.471,1.7613,189010,325.73,0.45202,2.9381,0,0,0.877909753444887,6.6555693890423,-5.9779235866189
12.581,1.7538,191080,326.62,0.46326,3.0112,0,0,0.87736726410093,6.65364908522363,-5.97876622720571
12.69,1.7463,193160,327.51,0.47451,3.0843,0,0,0.876910236942649,6.65176021320427,-5.97967597481934
12.783,1.7415,194920,328.24,0.48575,3.1574,0,0,0.876508718331478,6.65023125639582,-5.97995714125439
12.864,1.7384,196460,328.88,0.497,3.2305,0,0,0.876162729218655,6.64890909216192,-5.9798119922267
12.946,1.7353,198000,329.52,0.50825,3.3036,0,0,0.875733450914154,6.64760394205885,-5.97969017094472
13.027,1.7322,199550,330.16,0.51949,3.3767,0,0,0.875400909532622,6.64631519656882,-5.97959111312725
13.053,1.7313,200040,330.36,0.53074,3.4498,0,0,0.875272292707886,6.64591558387777,-5.97953809119177
13.052,1.7317,200020,330.35,0.54198,3.5229,0,0,0.875278331354686,6.64593519569783,-5.97940359596044
13.051,1.732,200000,330.34,0.55323,3.596,0,0,0.875284367232114,6.64595481178536,-5.97930770182158
13.05,1.7323,199980,330.33,0.56448,3.6691,0,0,0.875290400339197,6.64597443213995,-5.97921187195681
13.006,1.7352,199150,330,0.57572,3.7422,0,0,0.875481052989837,6.64663668155061,-5.97876118796045
12.948,1.739,198050,329.54,0.58697,3.8153,0,0,0.875766138215025,6.64756329544774,-5.97823789477759
12.89,1.7428,196940,329.09,0.59822,3.8884,0,0,0.875972477176059,6.64848078988372,-5.97771495591962
12.832,1.7465,195840,328.64,0.60946,3.9615,0,0,0.876215150060034,6.64940598068959,-5.97724664422598
12.695,1.755,193280,327.57,0.62071,4.0346,0,0,0.876948766223183,6.65163548425385,-5.9763081735989
12.537,1.7648,190310,326.33,0.63195,4.1077,0,0,0.877677798774588,6.65427805319713,-5.97535491519634
12.379,1.7746,187340,325.08,0.6432,4.1808,0,0,0.878372705903662,6.65700308466979,-5.97454352716036
12.221,1.7844,184370,323.84,0.65445,4.2539,0,0,0.878976271446628,6.65976943724322,-5.9738315665714
11.994,1.7988,180170,322,0.66569,4.327,0,0,0.880210799567525,6.6639709961867,-5.97302490601782
11.751,1.8142,175690,320.02,0.67694,4.4001,0,0,0.881493727055577,6.66863492945543,-5.97246424466025
11.509,1.8296,171210,318.04,0.68818,4.4732,0,0,0.882539033663299,6.67344600769639,-5.9721821006948
11.267,1.845,166740,316.06,0.69943,4.5463,0,0,0.88345838589648,6.67839981652235,-5.97216969189048
10.988,1.8639,161680,313.65,0.71068,4.6194,0,0,0.885149214483231,6.6845928157306,-5.97243522647803
10.702,1.8835,156500,311.15,0.72192,4.6925,0,0,0.886755151885522,6.69122463242188,-5.97310754544783
10.417,1.9032,151320,308.66,0.73317,4.7656,0,0,0.887968269405237,6.69803806771919,-5.97411564931845
10.131,1.9228,146140,306.16,0.74442,4.8387,0,0,0.888980979223788,6.70507711478259,-5.97555500680686
9.8391,1.9449,140950,303.4,0.75566,4.9118,0,0,0.890878051937464,6.71303849146633,-5.97740439856295
9.5463,1.9674,135750,300.59,0.76691,4.9849,0,0,0.892594819542915,6.72136834619315,-5.97972203443852
9.2535,1.9899,130560,297.77,0.77815,5.058,0,0,0.894020138197417,6.72994636556585,-5.98249062204641
8.9608,2.0123,125360,294.96,0.7894,5.1311,0,0,0.894897314972757,6.73870211787934,-5.98565525392104
8.6911,2.0354,120700,292.2,0.80065,5.2042,0,0,0.896760441137802,6.74746446016041,-5.98884400256254
8.4262,2.0586,116140,289.45,0.81189,5.2773,0,0,0.898463906432068,6.75636316690868,-5.99233277058801
8.1613,2.0817,111580,286.7,0.82314,5.3504,0,0,0.899753308358623,6.76542099391071,-5.99618268640548
7.8964,2.1049,107020,283.95,0.83438,5.4235,0,0,0.900571220611581,6.77462399091197,-6.00032685168287
7.6796,2.1245,103370,281.56,0.84563,5.4966,0,0,0.902005301719136,6.78271216961642,-6.00426970691799
7.4736,2.1434,99926,279.24,0.85688,5.5697,0,0,0.903431344347044,6.79064366960723,-6.00831114855959
7.2675,2.1623,96479,276.92,0.86812,5.6428,0,0,0.904518721895461,6.79865013662402,-6.01252911618491
7.0615,2.1812,93032,274.6,0.87937,5.7159,0,0,0.905230110876862,6.80672166324623,-6.01691019765337
6.8976,2.1983,90322,272.61,0.89062,5.789,0,0,0.906312328529314,6.81367666504068,-6.02060791456861
6.7457,2.215,87821,270.72,0.90186,5.8621,0,0,0.907350627810848,6.82031012697507,-6.024132821613
6.5937,2.2317,85320,268.83,0.91311,5.9352,0,0,0.908171902613891,6.82696851512882,-6.02775217818296
6.4418,2.2483,82819,266.94,0.92435,6.0083,0,0,0.908726555476293,6.83364577210605,-6.03147546601827
6.3006,2.2643,80544,265.13,0.9356,6.0814,0,0,0.909738435494481,6.8400463885428,-6.03509015137981
6.1632,2.28,78348,263.36,0.94685,6.1545,0,0,0.910743269441801,6.84630998839355,-6.03867687051113
6.0258,2.2957,76151,261.58,0.95809,6.2276,0,0,0.911549994246087,6.85260868715067,-6.04235342107447
5.8884,2.3114,73954,259.81,0.96934,6.3007,0,0,0.912079369422692,6.85886717989935,-6.04604301615176
5.7651,2.3269,72007,258.14,0.98058,6.3738,0,0,0.912928357234378,6.86475587357678,-6.04944637517201
5.6487,2.3422,70179,256.52,0.99183,6.4469,0,0,0.913821905687644,6.87045112139572,-6.05273658902732
5.5323,2.3575,68352,254.9,1.0031,6.52,0,0,0.914533879953412,6.87612751073109,-6.05605461776185
5.4158,2.3728,66525,253.28,1.0143,6.5931,0,0,0.915051417638322,6.8817801939875,-6.05939441385583
5.3011,2.3885,64751,251.64,1.0256,6.6662,0,0,0.915851238401281,6.88746986891574,-6.06275678840545
5.1875,2.4045,63013,249.99,1.0368,6.7393,0,0,0.916797753974264,6.89315696913423,-6.06611886506644
5.0739,2.4204,61274,248.34,1.0481,6.8124,0,0,0.917512061754783,6.89880328963987,-6.06950022008027
4.9603,2.4364,59536,246.68,1.0593,6.8855,0,0,0.918040624688273,6.9044362369952,-6.07289857290042
4.8487,2.4528,57847,245.01,1.0706,6.9586,0,0,0.918746815714396,6.91004667147888,-6.07626378070326
4.7389,2.4698,56207,243.31,1.0818,7.0317,0,0,0.919765325922409,6.91569241882123,-6.0796292089655
4.6291,2.4867,54567,241.61,1.093,7.1048,0,0,0.920540159969969,6.92126884539772,-6.08298492755867
4.5193,2.5036,52927,239.91,1.1043,7.1779,0,0,0.921047198943043,6.92676882646249,-6.0863090198829
4.4109,2.5209,51323,238.18,1.1155,7.251,0,0,0.921729870554203,6.93227698902628,-6.08963496596579
4.3045,2.5387,49770,236.41,1.1268,7.3241,0,0,0.922790714875043,6.93781067700245,-6.09296977062813
4.1981,2.5565,48218,234.64,1.138,7.3972,0,0,0.923588451015678,6.94323656147678,-6.09624254183027
4.0916,2.5743,46666,232.87,1.1493,7.4703,0,0,0.924097922715325,6.94854570353776,-6.09944307913951
3.9869,2.5925,45151,231.09,1.1605,7.5434,0,0,0.924644963713775,6.95375585555597,-6.10254199315153
3.8863,2.6115,43728,229.32,1.1718,7.6165,0,0,0.925775085927,6.95879742330492,-6.10542644590262
3.7856,2.6305,42305,227.55,1.183,7.6896,0,0,0.926625541656162,6.96369389241134,-6.10821237327208
3.685,2.6495,40883,225.77,1.1943,7.7627,0,0,0.927178093783639,6.96846128367846,-6.11091446492688
3.5806,2.6695,39412,223.91,1.2055,7.8358,0,0,0.927520051702447,6.97326360570004,-6.11359025315856
3.4563,2.6947,37688,221.54,1.2168,7.9089,0,0,0.928674752899232,6.97909313927203,-6.11680747616175
3.3327,2.7198,35976,219.17,1.228,7.982,0,0,0.929308000052869,6.98458091811703,-6.11976515728291
3.2188,2.7435,34414,216.87,1.2392,8.0551,0,0,0.930177462441387,6.98955159032083,-6.12241031244113
3.1433,2.761,33383,215.3,1.2505,8.1282,0,0,0.930721251617858,6.99273199258841,-6.12391185973206
3.0785,2.7769,32508,213.94,1.2617,8.2013,0,0,0.93128633842129,6.99534067691121,-6.12502262295158
3.0208,2.7889,31729,212.71,1.273,8.2744,0,0,0.9316882853382,6.99757856060047,-6.12614692393682
6.1584,1.4679,109460,338.42,1.2842,8.3475,0,0,0.990958938379328,6.63989697374515,-6.10399215491448
12.635,0.38494,277300,455.66,1.2955,8.4206,0,0,0.908778089873993,0.930365345194496,-6.67896889512895
12.913,0.31646,283850,456.92,1.3067,8.4937,0,0,0.907707052644038,0.928995444733991,-9.9143238419547
13.067,0.2787,287680,457.88,1.318,8.5668,0,0,0.907206671269086,0.928390834398091,-12.8027630960996
13.173,0.25109,290220,458.41,1.3292,8.6399,0,0,0.906802467789483,0.927909989591572,-15.7892971747115
13.27,0.23127,292430,458.72,1.3405,8.713,0,0,0.906415776945744,0.927371056725706,-18.6239177815489
13.337,0.21837,293830,458.77,1.3517,8.7861,0,0,0.906081167089475,0.926909259281002,-20.8976635522948
13.388,0.20775,294850,458.72,1.363,8.8592,0,0,0.905861669191838,0.926500243912049,-23.0960681749131
13.428,0.1985,295710,458.77,1.3742,8.9323,0,0,0.905698812727889,0.926232003713539,-25.3054933403123
13.46,0.19021,296450,458.88,1.3854,9.0054,0,0,0.905589535788004,0.926057557006125,-27.5657565351452
13.481,0.18276,296990,459.05,1.3967,9.0785,0,0,0.90549041260972,0.926006044445747,-29.8650343749579
13.489,0.17617,297330,459.29,1.4079,9.1516,0,0,0.905515975746382,0.926085642837319,-32.1468687381029
