"Mach","x","Points:0","Points:1","Points:2"
1.6631,6.0863,39.561,0,0
1.6687,6.0976,39.634,0,0
1.6732,6.1088,39.707,0,0
1.6767,6.1201,39.78,0,0
1.6803,6.1313,39.854,0,0
1.6838,6.1426,39.927,0,0
1.6874,6.1538,40,0,0
1.691,6.1651,40.073,0,0
1.6945,6.1763,40.146,0,0
1.6981,6.1876,40.219,0,0
1.7016,6.1988,40.292,0,0
1.7052,6.21,40.365,0,0
1.7087,6.2213,40.438,0,0
1.7119,6.2325,40.512,0,0
1.7141,6.2438,40.585,0,0
1.7162,6.255,40.658,0,0
1.7184,6.2663,40.731,0,0
1.7205,6.2775,40.804,0,0
1.7227,6.2888,40.877,0,0
1.7248,6.3,40.95,0,0
1.727,6.3113,41.023,0,0
1.7292,6.3225,41.096,0,0
1.7313,6.3338,41.169,0,0
1.7335,6.345,41.243,0,0
1.7356,6.3562,41.316,0,0
1.737,6.3675,41.389,0,0
1.7383,6.3787,41.462,0,0
1.7396,6.39,41.535,0,0
1.7409,6.4012,41.608,0,0
1.7422,6.4125,41.681,0,0
1.7435,6.4237,41.754,0,0
1.7448,6.435,41.827,0,0
1.7461,6.4462,41.9,0,0
1.7473,6.4575,41.973,0,0
1.7486,6.4687,42.047,0,0
1.7499,6.48,42.12,0,0
1.749,6.4912,42.193,0,0
1.7456,6.5024,42.266,0,0
1.7421,6.5137,42.339,0,0
1.7387,6.5249,42.412,0,0
1.7353,6.5362,42.485,0,0
1.7319,6.5474,42.558,0,0
1.7285,6.5587,42.631,0,0
1.7251,6.5699,42.704,0,0
1.7217,6.5812,42.778,0,0
1.7183,6.5924,42.851,0,0
1.7148,6.6037,42.924,0,0
1.7114,6.6149,42.997,0,0
1.7056,6.6262,43.07,0,0
1.6996,6.6374,43.143,0,0
1.6937,6.6486,43.216,0,0
1.6877,6.6599,43.289,0,0
1.6818,6.6711,43.362,0,0
1.6758,6.6824,43.436,0,0
1.6699,6.6936,43.509,0,0
1.664,6.7049,43.582,0,0
1.658,6.7161,43.655,0,0
1.6521,6.7274,43.728,0,0
1.6461,6.7386,43.801,0,0
1.6389,6.7499,43.874,0,0
1.6298,6.7611,43.947,0,0
1.6206,6.7724,44.02,0,0
1.6114,6.7836,44.093,0,0
1.6022,6.7948,44.167,0,0
1.593,6.8061,44.24,0,0
1.5838,6.8173,44.313,0,0
1.5746,6.8286,44.386,0,0
1.5655,6.8398,44.459,0,0
1.5563,6.8511,44.532,0,0
1.5471,6.8623,44.605,0,0
1.5379,6.8736,44.678,0,0
1.5276,6.8848,44.751,0,0
1.5169,6.8961,44.824,0,0
1.5062,6.9073,44.897,0,0
1.4956,6.9186,44.971,0,0
1.4849,6.9298,45.044,0,0
1.4742,6.941,45.117,0,0
1.4635,6.9523,45.19,0,0
1.4528,6.9635,45.263,0,0
1.4421,6.9748,45.336,0,0
1.4314,6.986,45.409,0,0
1.4207,6.9973,45.482,0,0
1.41,7.0085,45.555,0,0
1.4025,7.0198,45.628,0,0
1.3951,7.031,45.702,0,0
1.3877,7.0423,45.775,0,0
1.3803,7.0535,45.848,0,0
1.3729,7.0648,45.921,0,0
1.3655,7.076,45.994,0,0
1.3581,7.0872,46.067,0,0
1.3507,7.0985,46.14,0,0
1.3432,7.1097,46.213,0,0
1.3358,7.121,46.286,0,0
1.3284,7.1322,46.36,0,0
1.3219,7.1435,46.433,0,0
1.3199,7.1547,46.506,0,0
1.318,7.166,46.579,0,0
1.3161,7.1772,46.652,0,0
1.3142,7.1885,46.725,0,0
1.3122,7.1997,46.798,0,0
1.3103,7.211,46.871,0,0
